Initial Configuration,Initial term,Initial J,Final configuration,Final term,Final J,Wavelength (nm),Wavelength error (nm),Wavelength w/uncertainty (nm),Matrix element (a.u),Matrix el. uncertainty (a.u),Matrix el. w/uncertainty (a.u),Transition rate (s-1),Transition rate uncertainty,Transition rate w/uncertainty (s-1),Branching ratio,Branching ratio uncertainty,Branching ratio w/uncertainty,Lifetime reference,Matrix Element Reference
8d,2D,5/2,5f,2F,5/2,5142.2712,0.0374,5142.27(4),1.2757711,0.0131525,1.276(13),4042.0030780337224,83.34171427738302,4.042(83)E+03,0.0018649019048792223,0.0000651201223171874,0.001865(65),,
8d,2D,5/2,5f,2F,7/2,5142.221,0.0374,5142.22(4),5.7053138,0.0587936,5.705(59),80839.37033131739,1666.1100278027493,8.08(17)E+04,0.03729771917775193,0.0012860192828276055,0.0373(13),,
8d,2D,5/2,6f,2F,5/2,16821.5652,0.4002,16821.6(4),8.6475517,0.0536002,8.648(54),5305.217305277848,65.76784538040992,5.305(66)E+03,0.0024477244740802573,0.00007539218002241615,0.002448(75),,
8d,2D,5/2,6f,2F,7/2,16821.1125,0.4002,16821.1(4),38.671263,0.239707,38.67(24),106103.23415519782,1315.4010237384957,1.061(13)E+05,0.048953976449253894,0.0014964350308781175,0.0490(15),,
10s,2S,1/2,5p,2P,1/2,532.3855,0.0003,532.3855(3),0.2429407,0.0015873,0.2429(16),396240.78164720174,5177.831445877314,3.962(52)E+05,0.1693583313582829,0.002032287950816461,0.1694(20),,
10s,2S,1/2,5p,2P,3/2,539.206,0.0003,539.2060(3),0.3413062,0.00238,0.3413(24),752768.4329652752,10498.425655838015,7.53(10)E+05,0.32174276755717374,0.003224222489749458,0.3217(32),,
10s,2S,1/2,6p,2P,1/2,1307.6596,0.0024,1307.660(2),0.6059422,0.003808,0.6059(38),166347.2304367493,2090.7945156616156,1.663(21)E+05,0.07109891429076375,0.000917677688100317,0.07110(92),,
10s,2S,1/2,6p,2P,3/2,1321.0493,0.0025,1321.049(2),0.8431175,0.0057288,0.8431(57),312360.71450912603,4244.84657817583,3.124(42)E+05,0.13350692771004974,0.001722420379727756,0.1335(17),,
10s,2S,1/2,7p,2P,1/2,2835.0208,0.0114,2835.02(1),1.4714307,0.008984,1.4714(90),96260.51822690204,1175.4612945698009,9.63(12)E+04,0.04114296533239447,0.0005331537929222445,0.04114(53),,
10s,2S,1/2,7p,2P,3/2,2863.5072,0.0116,2863.51(1),2.0404966,0.0135836,2.040(14),179644.62228791238,2391.7919862187546,1.796(24)E+05,0.07678238807649672,0.0010333481798876255,0.0768(10),,
10s,2S,1/2,8p,2P,1/2,6547.112,0.0606,6547.11(6),4.394676,0.0246703,4.395(25),69717.48581890682,782.7455543006048,6.972(78)E+04,0.029798136919933552,0.00036449075017749757,0.02980(36),,
10s,2S,1/2,8p,2P,3/2,6628.9216,0.0621,6628.92(6),6.1164479,0.0377769,6.116(38),130108.96657702752,1607.1831955625162,1.301(16)E+05,0.0556102210949482,0.000717987249982621,0.05561(72),,
10s,2S,1/2,9p,2P,1/2,24788.0006,0.869,24788.0(9),34.875744,0.058987,34.876(59),80902.09691996388,273.79934696254116,8.090(27)E+04,0.03457858143927857,0.00022340383403766722,0.03458(22),,
10s,2S,1/2,9p,2P,3/2,25501.0315,0.9197,25501.0(9),50.421458,0.094743,50.421(95),155308.37179764968,583.8973594965638,1.5531(58)E+05,0.06638076622067836,0.00043699457293955464,0.06638(44),,
10p,2P,1/2,10s,2S,1/2,34303.0814,1.6641,34303(2),49.420286,0.100455,49.42(10),61298.29807941239,249.3577251454806,6.130(25)E+04,0.07602473963595947,0.001057742358179657,0.0760(11),,
10p,2P,3/2,10s,2S,1/2,33463.9543,1.5837,33464(2),69.020605,0.158919,69.02(16),64392.17041195295,296.66508379311665,6.439(30)E+04,0.07450590668001482,0.0009855903329824924,0.07451(99),,
11p,2P,1/2,10s,2S,1/2,13311.6974,0.2506,13311.7(3),5.7691585,0.0442828,5.769(44),14294.268776667952,219.44085220645755,1.429(22)E+04,0.025478534335525996,0.0004956882741689967,0.02548(50),,
11p,2P,3/2,10s,2S,1/2,13224.2072,0.2473,13224.2(2),8.6284101,0.0601471,8.628(60),16306.46938296837,227.3407902727182,1.631(23)E+04,0.027167429177053608,0.00048663094591058824,0.02717(49),,
12p,2P,1/2,10s,2S,1/2,9335.595,0.4444,9335.6(4),2.3560479,0.0166401,2.356(17),6911.614855164065,97.6345514156416,6.912(98)E+03,0.017011799765359176,0.00031049295836723675,0.01701(31),,
12p,2P,3/2,10s,2S,1/2,9304.8444,0.4415,9304.8(4),3.5989554,0.0231889,3.599(23),8143.908818997042,104.95256938110373,8.14(10)E+03,0.01876445086068699,0.000316328438249168,0.01876(32),,
13p,2P,1/2,10s,2S,1/2,7676.3704,0.3005,7676.4(3),1.3527074,0.0113948,1.353(11),4098.050277712073,69.04316158791252,4.098(69)E+03,0.013530146828273245,0.0002812911222607394,0.01353(28),,
13p,2P,3/2,10s,2S,1/2,7661.08,0.2993,7661.1(3),2.0900058,0.0172273,2.090(17),4920.761478552552,81.12281465452008,4.921(81)E+03,0.0152225572403214,0.00030354717903382833,0.01522(30),,
10p,2P,1/2,4d,2D,3/2,813.1271,0.0009,813.1271(9),0.2552861,0.0048281,0.2553(48),122805.10170439232,4645.10456169453,1.228(46)E+05,0.15230807666060814,0.00521963787628559,0.1523(52),,
10p,2P,1/2,5d,2D,3/2,1679.7367,0.004,1679.737(4),0.8049314,0.0128753,0.805(13),138494.1465785544,4430.573164133324,1.385(44)E+05,0.1717662931048858,0.0050118977661333325,0.1718(50),,
10p,2P,1/2,6d,2D,3/2,3370.7225,0.0161,3370.72(2),2.1378507,0.0306348,2.138(31),120899.0954882051,3464.900587677245,1.209(35)E+05,0.14994416720683454,0.0041189352525206925,0.1499(41),,
10p,2P,1/2,7d,2D,3/2,7279.4137,0.0749,7279.41(7),6.3812967,0.0796524,6.381(80),106946.35163306125,2669.8461115979444,1.069(27)E+05,0.1326393846593594,0.003348810462635944,0.1326(33),,
10p,2P,1/2,8d,2D,3/2,23126.1997,0.7564,23126.2(8),37.821826,0.70959,37.82(71),117168.12575392688,4396.4886637249365,1.172(44)E+05,0.1453168608781877,0.00498821941881678,0.1453(50),,
9d,2D,3/2,10p,2P,1/2,59522.038,5.0104,59522(5),89.715812,0.16235,89.72(16),19333.564025395757,70.1422766168712,1.9334(70)E+04,0.012722004566728354,0.0002823506463172109,0.01272(28),,
10d,2D,3/2,10p,2P,1/2,17428.8901,0.3272,17428.9(3),2.0524599,0.2998349,2.05(30),403.03937898894276,117.7565263422764,4.0(12)E+02,0.00035875428274545745,0.0001050019528864568,0.00036(11),,
11d,2D,3/2,10p,2P,1/2,11618.8551,6.7512,11619(7)*,2.2555671,0.460233,2.26(46),1642.9668995248617,670.4783763419343,1.64(67)E+03,0.0018832725177303294,0.0007712503346901113,0.00188(77),,
12d,2D,3/2,10p,2P,1/2,9340.1205,4.3628,9340(4)*,1.7864712,0.2402126,1.79(24),1984.001143833557,533.5530103133751,1.98(53)E+03,0.0029625895529867656,0.0008015078063136428,0.00296(80),,
10p,2P,3/2,4d,2D,3/2,812.644,0.0009,812.6440(9),0.114924,0.0019795,0.1149(20),12466.017767067586,429.44001748426535,1.247(43)E+04,0.014423988980066044,0.0005219441924537099,0.01442(52),,
10p,2P,3/2,4d,2D,5/2,812.6146,0.0009,812.6146(9),0.3449973,0.0057278,0.3450(57),112353.05550869337,3730.671715775633,1.124(37)E+05,0.12999975331459476,0.004054711033856636,0.1300(41),,
10p,2P,3/2,5d,2D,3/2,1677.6767,0.004,1677.677(4),0.3603847,0.0055556,0.3604(56),13932.055209559045,429.54613780855584,1.393(43)E+04,0.016120289138623838,0.0005289961423729153,0.01612(53),,
10p,2P,3/2,5d,2D,5/2,1678.5108,0.004,1678.511(4),1.0827889,0.015963,1.083(16),125580.58074882462,3702.7399697599913,1.256(37)E+05,0.14530485570272328,0.004041576575291946,0.1453(40),,
10p,2P,3/2,6d,2D,3/2,3362.4375,0.016,3362.44(2),0.9546391,0.0132023,0.955(13),12142.919097289829,335.86406035542,1.214(34)E+04,0.01405014291796111,0.0004216126508744859,0.01405(42),,
10p,2P,3/2,6d,2D,5/2,3364.998,0.016,3365.00(2),2.8686407,0.0378553,2.869(38),109396.94898176243,2887.259410108524,1.094(29)E+05,0.12657934683314442,0.003293859323429483,0.1266(33),,
10p,2P,3/2,7d,2D,3/2,7240.8832,0.0741,7240.88(7),2.8363771,0.0337882,2.836(34),10733.976318787887,255.73612180640725,1.073(26)E+04,0.012419904979078711,0.00033104424848382315,0.01242(33),,
10p,2P,3/2,7d,2D,5/2,7248.7931,0.0743,7248.79(7),8.5257776,0.0967964,8.526(97),96666.99254557704,2194.996373633836,9.67(22)E+04,0.11184996373878264,0.002640192304730969,0.1118(26),,
10p,2P,3/2,8d,2D,3/2,22741.7447,0.7314,22741.7(7),16.439958,0.309814,16.44(31),11639.58191191859,438.7015156551957,1.164(44)E+04,0.013467749233730062,0.0005283814048227876,0.01347(53),,
10p,2P,3/2,8d,2D,5/2,22794.2568,0.7348,22794.3(7),49.476703,0.889375,49.48(89),104696.5838150489,3763.988118634972,1.047(38)E+05,0.12114072026981083,0.004083501792241673,0.1211(41),,
9d,2D,3/2,10p,2P,3/2,62229.6898,5.4766,62230(5),40.46464,0.071311,40.465(71),3441.6426066654594,12.164426508538845,3.442(12)E+03,0.0022646933023591125,0.000050242351718965724,0.002265(50),,
9d,2D,5/2,10p,2P,3/2,61961.7077,5.4295,61962(5),121.32234,0.20383,121.32(20),20894.283243110433,70.42224094841605,2.0894(70)E+04,0.013290100151327772,0.00031748080768427924,0.01329(32),,
10d,2D,3/2,10p,2P,3/2,17653.8088,0.3357,17653.8(3),1.3626471,0.1344918,1.36(13),170.94596399708803,33.744366183710035,1.71(34)E+02,0.0001521627907820109,0.00003017111902137265,0.000152(30),,
10d,2D,5/2,10p,2P,3/2,17638.3019,0.3351,17638.3(3),3.912696,0.3826916,3.91(38),942.1020571458153,184.289583916493,9.4(18)E+02,0.0008115093476936743,0.00015948345185890796,0.00081(16),,
11d,2D,3/2,10p,2P,3/2,11718.3838,6.8674,11718(7)*,1.2064544,0.210907,1.21(21),458.1692996336765,160.19226943559917,4.6(16)E+02,0.0005251826136712736,0.00018487511270866478,0.00053(18),,
11d,2D,5/2,10p,2P,3/2,11713.4423,6.8616,11713(7)*,3.5434637,0.6002258,3.54(60),2638.2649024824036,893.8011512124307,2.64(89)E+03,0.002935299780256531,0.0010005413399038188,0.0029(10),,
12d,2D,3/2,10p,2P,3/2,9404.3298,4.423,9404(4)*,0.9176624,0.1094516,0.92(11),512.8491547427147,122.33941900534059,5.1(12)E+02,0.0007658067903948361,0.00018461841794547903,0.00077(18),,
12d,2D,5/2,10p,2P,3/2,9401.6773,4.4205,9402(4)*,2.7066833,0.3129908,2.71(31),2976.9732171607398,688.505048838711,2.98(69)E+03,0.004316929367014338,0.0010082226885286278,0.0043(10),,
9d,2D,3/2,4f,2F,5/2,1988.1755,0.0056,1988.176(6),0.7528637,0.0085026,0.7529(85),36532.202947683916,825.165911223487,3.653(83)E+04,0.02403917105623096,0.0007469185434844677,0.02404(75),,
9d,2D,3/2,5f,2F,5/2,3930.7125,0.0219,3930.71(2),2.3978025,0.0259204,2.398(26),47953.49649908241,1036.761102807685,4.80(10)E+04,0.03155468907080781,0.0009558893153112514,0.03155(96),,
9d,2D,3/2,6f,2F,5/2,8376.0722,0.0992,8376.1(1),7.7789135,0.0756782,7.779(76),52158.363537112695,1014.8609181322993,5.22(10)E+04,0.03432160455468026,0.0009901886570097835,0.03432(99),,
9d,2D,3/2,7f,2F,5/2,26307.1358,0.9787,26307(1),47.949983,0.302289,47.95(30),63968.11161191751,806.5743858986887,6.397(81)E+04,0.0420927360823295,0.0010526075114620109,0.0421(11),,
9d,2D,5/2,4f,2F,5/2,1987.9008,0.0056,1987.901(6),0.2011458,0.0021487,0.2011(21),1739.2172822669106,37.15768827170302,1.739(37)E+03,0.0011062533994253645,0.000035244893668387525,0.001106(35),,
9d,2D,5/2,4f,2F,7/2,1987.8906,0.0056,1987.891(6),0.8995373,0.0096091,0.8995(96),34783.79729473413,743.1398625384492,3.478(74)E+04,0.022124719202460816,0.0006981917332111327,0.02212(70),,
9d,2D,5/2,5f,2F,5/2,3929.639,0.0218,3929.64(2),0.6406479,0.0065461,0.6406(65),2284.0041851297797,46.67563806688268,2.284(47)E+03,0.0014527727040570069,0.00004538642912232752,0.001453(45),,
9d,2D,5/2,5f,2F,7/2,3929.6097,0.0218,3929.61(2),2.8650209,0.0292653,2.865(29),45679.71631599033,933.2085818316019,4.568(93)E+04,0.02905522039976799,0.0008968186888325129,0.02906(90),,
9d,2D,5/2,6f,2F,5/2,8371.1991,0.0991,8371.2(1),2.0775607,0.0190802,2.078(19),2484.6229492324205,45.63735866906179,2.485(46)E+03,0.0015803790658612028,0.00004730372557545438,0.001580(47),,
9d,2D,5/2,6f,2F,7/2,8371.0869,0.0991,8371.1(1),9.2909422,0.0853091,9.291(85),49692.40505855628,912.5494893574794,4.969(91)E+04,0.031607547016781354,0.0009352418484877161,0.03161(94),,
9d,2D,5/2,7f,2F,5/2,26259.125,0.9752,26259(1),12.767892,0.076076,12.768(76),3040.2808472868646,36.231903269605226,3.040(36)E+03,0.0019338130185408118,0.00005120319500953662,0.001934(51),,
9d,2D,5/2,7f,2F,7/2,26258.2976,0.9751,26258(1),57.096862,0.340219,57.10(34),60805.21633690938,724.6630746766112,6.081(72)E+04,0.03867600555798621,0.0010164143238021936,0.0387(10),,
11s,2S,1/2,5p,2P,1/2,517.1093,0.0003,517.1093(3),0.1892199,0.0012505,0.1892(13),262315.4402880999,3467.1349147114224,2.623(35)E+05,0.16644454353105428,0.002020234063118766,0.1664(20),,
11s,2S,1/2,5p,2P,3/2,523.5417,0.0003,523.5417(3),0.2656775,0.001875,0.2657(19),498302.5121885251,7033.46890333473,4.983(70)E+05,0.31618319566131653,0.0032247539914080194,0.3162(32),,
11s,2S,1/2,6p,2P,1/2,1219.194,0.0021,1219.194(2),0.4406402,0.0028008,0.4406(28),108539.31498436716,1379.796661867781,1.085(14)E+05,0.06887042835871479,0.0008982830402016627,0.06887(90),,
11s,2S,1/2,6p,2P,3/2,1230.8253,0.0021,1230.825(2),0.6123981,0.0042136,0.6124(42),203758.51032247295,2803.917642745246,2.038(28)E+05,0.12928896676437912,0.0016915400326547353,0.1293(17),,
11s,2S,1/2,7p,2P,1/2,2449.6589,0.0085,2449.659(8),0.9400835,0.0058895,0.9401(59),60905.05307138039,763.124624257857,6.091(76)E+04,0.03864550918568414,0.0005121609547424841,0.03865(51),,
11s,2S,1/2,7p,2P,3/2,2470.8984,0.0086,2470.898(9),1.3002539,0.0088982,1.3003(89),113534.79740012613,1553.9359323731512,1.135(16)E+05,0.07204016472457725,0.0009959174845668058,0.0720(10),,
11s,2S,1/2,8p,2P,1/2,4802.4258,0.0326,4802.43(3),2.1119498,0.0132813,2.112(13),40796.46211116388,513.10950903614,4.080(51)E+04,0.02588619452334492,0.00034804672546957164,0.02589(35),,
11s,2S,1/2,8p,2P,3/2,4846.2973,0.0332,4846.30(3),2.9179799,0.0202563,2.918(20),75782.9934457748,1052.1557958471726,7.58(11)E+04,0.04808586844009385,0.000688481767738668,0.04809(69),,
11s,2S,1/2,9p,2P,1/2,10435.0258,0.154,10435.0(2),6.0417025,0.033603,6.042(34),32544.335147987313,362.0158245257406,3.254(36)E+04,0.02065005019254344,0.00025240772855751126,0.02065(25),,
11s,2S,1/2,9p,2P,3/2,10559.3164,0.1577,10559.3(2),8.3908938,0.0517625,8.391(52),60582.382179374385,747.4570193457959,6.058(75)E+04,0.03844076786633324,0.0005031132147943463,0.03844(50),,
11s,2S,1/2,10p,2P,1/2,37969.2525,2.0388,37969(2),46.920765,0.084357,46.921(84),40744.720040025524,146.65361133586734,4.074(15)E+04,0.025853363114707612,0.00016965331904408395,0.02585(17),,
11s,2S,1/2,10p,2P,3/2,39053.1944,2.1569,39053(2),67.800375,0.140882,67.80(14),78186.50762887456,325.18471363043125,7.819(33)E+04,0.04961094763725083,0.0003377847590405128,0.04961(34),,
11p,2P,1/2,11s,2S,1/2,50934.9103,3.669,50935(4),63.973647,0.128571,63.97(13),31375.66173155937,126.29656717911881,3.138(13)E+04,0.05592492258381397,0.0007275153720971168,0.05592(73),,
11p,2P,3/2,11s,2S,1/2,49677.3456,3.4901,49677(3),89.307537,0.200393,89.31(20),32954.0193477768,148.0509722737706,3.295(15)E+04,0.05490311640759403,0.0006835526880389626,0.05490(68),,
12p,2P,1/2,11s,2S,1/2,19369.372,1.913,19369(2),7.5235803,0.0554091,7.524(55),7891.141174639501,116.25568321912365,7.89(12)E+03,0.019422742209492198,0.0003628343424659957,0.01942(36),,
12p,2P,3/2,11s,2S,1/2,19237.4653,1.887,19237(2),11.226397,0.075198,11.226(75),8966.946038634589,120.15592592530824,8.97(12)E+03,0.020660818048440836,0.00035574787446068123,0.02066(36),,
13p,2P,1/2,11s,2S,1/2,13372.3986,0.9118,13372.4(9),3.0696004,0.0207036,3.070(21),3991.8393950920117,53.85388127346618,3.992(54)E+03,0.013179480355383551,0.00024059825724466358,0.01318(24),,
13p,2P,3/2,11s,2S,1/2,13326.0662,0.9055,13326.1(9),4.6721647,0.029165,4.672(29),4672.375151602321,58.34040275771242,4.672(58)E+03,0.0144541649709149,0.0002442366541675886,0.01445(24),,
11p,2P,1/2,4d,2D,3/2,783.828,0.0009,783.8280(9),0.1977855,0.0037744,0.1978(38),82293.18925940078,3140.8512232262974,8.23(31)E+04,0.14668185416717291,0.0050476193237433764,0.1467(50),,
11p,2P,1/2,5d,2D,3/2,1559.3292,0.0034,1559.329(3),0.5844886,0.0097022,0.5845(97),91280.070191505,3030.401325886186,9.13(30)E+04,0.16270034087505167,0.004876562454430718,0.1627(49),,
11p,2P,1/2,6d,2D,3/2,2918.4955,0.012,2918.50(1),1.3801041,0.0202501,1.380(20),77621.84000142403,2277.8718809297266,7.76(23)E+04,0.13835550083478945,0.0038583952729366456,0.1384(39),,
11p,2P,1/2,7d,2D,3/2,5454.237,0.0421,5454.24(4),3.2295712,0.0434544,3.230(43),65121.59257101634,1752.44365561611,6.51(18)E+04,0.11607468407289465,0.003094841571843967,0.1161(31),,
11p,2P,1/2,8d,2D,3/2,11209.38,0.1777,11209.4(2),8.9766455,0.1082008,8.98(11),57958.97325441234,1397.230062553349,5.80(14)E+04,0.1033078161035254,0.002563865457154832,0.1033(26),,
11p,2P,1/2,9d,2D,3/2,34282.384,1.6621,34282(2),50.58699,0.807159,50.59(81),64343.09450665416,2053.3203204536935,6.43(21)E+04,0.11468706572228908,0.003515541376475623,0.1147(35),,
10d,2D,3/2,11p,2P,1/2,87673.1545,8.2787,87673(8),115.37127,0.21574,115.37(22),10004.669906222925,37.52390600169202,1.0005(38)E+04,0.00890537839085579,0.00017255610601810673,0.00891(17),,
11d,2D,3/2,11p,2P,1/2,24939.5217,31.1052,24940(30)*,1.9729805,1.2912211,2.0(13),127.1125827709085,166.37885632101478,1.3(17)E+02,0.00014570447758832118,0.0001907864530897728,<0.00034,,
12d,2D,3/2,11p,2P,1/2,16367.9516,13.3982,16370(10)*,2.4462073,0.4990074,2.45(50),691.2113149673257,282.00865001416645,6.9(28)E+02,0.0010321442742072518,0.0004223144028972155,0.00103(42),,
11p,2P,3/2,4d,2D,3/2,783.5228,0.0009,783.5228(9),0.0890599,0.0015309,0.0891(15),8352.50724338837,287.1517574831729,8.35(29)E+03,0.013915713061871511,0.0004990422774060286,0.01392(50),,
11p,2P,3/2,4d,2D,5/2,783.4954,0.0009,783.4954(9),0.2673437,0.0044295,0.2673(44),75272.76891979139,2494.3227144173047,7.53(25)E+04,0.1254083622004076,0.0038850158603641522,0.1254(39),,
11p,2P,3/2,5d,2D,3/2,1558.1217,0.0034,1558.122(3),0.2618582,0.0040501,0.2619(41),9181.963506551798,284.0306030563574,9.18(28)E+03,0.015297630493274057,0.0004991451790983094,0.01530(50),,
11p,2P,3/2,5d,2D,5/2,1558.8411,0.0034,1558.841(3),0.7867199,0.0116364,0.787(12),82764.10775628222,2448.333357412042,8.28(24)E+04,0.1378893237440663,0.003828270704143126,0.1379(38),,
11p,2P,3/2,6d,2D,3/2,2914.2683,0.012,2914.27(1),0.617254,0.0086628,0.6173(87),7797.340945828836,218.8622890639678,7.80(22)E+03,0.012990777030888072,0.0003906810039893404,0.01299(39),,
11p,2P,3/2,6d,2D,5/2,2916.1916,0.012,2916.19(1),1.8545542,0.0248364,1.855(25),70248.68927379076,1881.5570141816136,7.02(19)E+04,0.1170379832571178,0.003066549171789065,0.1170(31),,
11p,2P,3/2,7d,2D,3/2,5439.4919,0.0418,5439.49(4),1.4419408,0.0188114,1.442(19),6543.757119630997,170.73832813353746,6.54(17)E+03,0.010902240940341038,0.0003089350134058013,0.01090(31),,
11p,2P,3/2,7d,2D,5/2,5443.9545,0.0419,5443.95(4),4.3325612,0.0538852,4.333(54),58932.28362620669,1465.9131683016649,5.89(15)E+04,0.0981842607406631,0.002472762130688923,0.0982(25),,
11p,2P,3/2,8d,2D,3/2,11147.2778,0.1757,11147.3(2),3.9900653,0.0460666,3.990(46),5821.847770440598,134.43052916129585,5.82(13)E+03,0.009699502281482877,0.0002491613334832142,0.00970(25),,
11p,2P,3/2,8d,2D,5/2,11159.8798,0.1761,11159.9(2),11.992998,0.131907,11.99(13),52418.463776654295,1153.0692013088299,5.24(12)E+04,0.08733189685497524,0.0020226465857114333,0.0873(20),,
11p,2P,3/2,9d,2D,3/2,33708.0545,1.6069,33708(2),21.990202,0.35318,21.99(35),6395.355480721608,205.4309492254476,6.40(21)E+03,0.010654996063467783,0.0003608359974609922,0.01065(36),,
11p,2P,3/2,9d,2D,5/2,33787.2082,1.6144,33787(2),66.187138,1.009749,66.2(10),57530.42700370914,1755.3843224738312,5.75(18)E+04,0.09584869443175602,0.0028587471764850605,0.0958(29),,
10d,2D,3/2,11p,2P,3/2,91667.4306,9.0502,91667(9),52.038196,0.094674,52.038(95),1780.7649784883156,6.500985068613374,1.7808(65)E+03,0.0015850983697881602,0.00003069209239720126,0.001585(31),,
10d,2D,5/2,11p,2P,3/2,91250.8669,8.9682,91251(9),156.00919,0.27039,156.01(27),10816.964982575628,37.63061068430315,1.0817(38)E+04,0.009317534263357017,0.00019354319313146662,0.00932(19),,
11d,2D,3/2,11p,2P,3/2,25252.5253,31.8909,25250(30)*,1.4313021,0.6031413,1.43(60),64.43999386477762,54.30972871876251,6.4(54)E+01,0.00007386519443778381,0.000062327564115872,0.000074(62),,
11d,2D,5/2,11p,2P,3/2,25229.5893,31.833,25230(30)*,4.0802655,1.7116619,4.1(17),350.0760195621879,293.71514331779264,3.5(29)E+02,0.00038949010098534827,0.00032714099279655006,0.00039(33),,
12d,2D,3/2,11p,2P,3/2,16502.1948,13.6188,16500(10)*,1.3390946,0.2294127,1.34(23),202.1178665702515,69.25517577228263,2.02(69)E+02,0.0003018104509839105,0.00010395444581611155,0.00030(10),,
12d,2D,5/2,11p,2P,3/2,16494.0292,13.6054,16490(10)*,3.9210553,0.655201,3.92(66),1157.0222671742877,386.683109796429,1.16(39)E+03,0.0016778059589726236,0.00056359623698705,0.00168(56),,
10d,2D,3/2,4f,2F,5/2,1839.7599,0.0036,1839.760(4),0.541359,0.0057889,0.5414(58),23839.361581483612,509.8416594454605,2.384(51)E+04,0.021219944033085168,0.0006000442060159635,0.02122(60),,
10d,2D,3/2,5f,2F,5/2,3390.0339,0.0124,3390.03(1),1.5278032,0.0159056,1.528(16),30347.996053153798,631.8917947785301,3.035(63)E+04,0.027013423810157908,0.0007504434991960297,0.02701(75),,
10d,2D,3/2,6f,2F,5/2,6251.4378,0.0421,6251.44(4),3.878178,0.0389054,3.878(39),31183.36963843098,625.6556992496124,3.118(63)E+04,0.027757008350612553,0.000756012280234733,0.02776(76),,
10d,2D,3/2,7f,2F,5/2,12724.589,0.1744,12724.6(2),11.338061,0.101643,11.34(10),31604.840544510083,566.6611344978443,3.160(57)E+04,0.02813216894407068,0.0007254711391777377,0.02813(73),,
10d,2D,3/2,8f,2F,5/2,38761.3425,1.6182,38761(2),66.074617,0.405147,66.07(41),37973.46189879119,465.70490095413976,3.797(47)E+04,0.033801019942610956,0.0007572284909537208,0.03380(76),,
10d,2D,5/2,4f,2F,5/2,1839.5913,0.0036,1839.591(4),0.1446512,0.0014604,0.1447(15),1135.0005858108982,22.91795609826032,1.135(23)E+03,0.000977668584881119,0.000028107194894731495,0.000978(28),,
10d,2D,5/2,4f,2F,7/2,1839.5825,0.0036,1839.583(4),0.6468903,0.0065311,0.6469(65),22699.668434961008,458.3584288770637,2.270(46)E+04,0.019553076001474816,0.0005569642906531904,0.01955(56),,
10d,2D,5/2,5f,2F,5/2,3389.4617,0.0124,3389.46(1),0.4082864,0.0040117,0.4083(40),1445.6184950612544,28.40843398701237,1.446(28)E+03,0.0012452291267627455,0.00003532617041088161,0.001245(35),,
10d,2D,5/2,5f,2F,7/2,3389.4399,0.0124,3389.44(1),1.8258877,0.0179353,1.826(18),28912.149760069817,567.9956774039528,2.891(57)E+04,0.024904392909721285,0.0006983544917489776,0.02490(70),,
10d,2D,5/2,6f,2F,5/2,6249.4922,0.0421,6249.49(4),1.0363687,0.0098055,1.0364(98),1485.9713487605418,28.118758063964872,1.486(28)E+03,0.0012799883311766453,0.00003567363306160801,0.001280(36),,
10d,2D,5/2,6f,2F,7/2,6249.4297,0.0421,6249.43(4),4.6347113,0.0438444,4.635(44),29719.415295780003,562.2920570557243,2.972(56)E+04,0.025599756563086457,0.0007053817096560308,0.02560(71),,
10d,2D,5/2,7f,2F,5/2,12716.5307,0.1742,12716.5(2),3.0285,0.0255549,3.029(26),1506.1397745924264,25.418104965835656,1.506(25)E+03,0.0012973610414543683,0.0000344147523413953,0.001297(34),,
10d,2D,5/2,7f,2F,7/2,12716.3367,0.1742,12716.3(2),13.543593,0.114268,13.54(11),30122.970176698353,508.2996461463914,3.012(51)E+04,0.025947371299397302,0.0006813628673555136,0.02595(68),,
10d,2D,5/2,8f,2F,5/2,38686.6651,1.612,38687(2),17.593612,0.101946,17.59(10),1805.270124972879,20.922454606118055,1.805(21)E+03,0.001555026411858129,0.0000365844088888845,0.001555(37),,
10d,2D,5/2,8f,2F,7/2,38685.9168,1.6119,38686(2),78.678665,0.455911,78.68(46),36105.331894707895,418.45589063280744,3.611(42)E+04,0.03110046741953255,0.0007264247151875272,0.03110(73),,
12s,2S,1/2,5p,2P,1/2,507.2033,0.0001,507.2033(1),0.1533667,0.0010443,0.1534(10),182622.0898844111,2487.009874323028,1.826(25)E+05,0.16465760915214245,0.002059898907594814,0.1647(21),,
12s,2S,1/2,5p,2P,3/2,513.3901,0.0001,513.3901(1),0.2152519,0.0015678,0.2153(16),346887.67101800576,5053.153919288068,3.469(51)E+05,0.31276443386630753,0.0033038267644378,0.3128(33),,
12s,2S,1/2,6p,2P,1/2,1165.5243,0.0015,1165.524(1),0.3421317,0.0022556,0.3421(23),74896.23571236273,987.5492771649772,7.490(99)E+04,0.06752871525398996,0.0009122589902119189,0.06753(91),,
12s,2S,1/2,6p,2P,3/2,1176.1496,0.0015,1176.150(1),0.4751569,0.0033964,0.4752(34),140580.0621640617,2009.7199061351541,1.406(20)E+05,0.12675124320965223,0.001722531642929735,0.1268(17),,
12s,2S,1/2,7p,2P,1/2,2242.2073,0.0054,2242.207(5),0.6781996,0.0044433,0.6782(44),41335.68166057368,541.630700587014,4.134(54)E+04,0.03726950293478771,0.0005150975282824615,0.03727(52),,
