Initial Configuration,Initial term,Initial J,Final configuration,Final term,Final J,Wavelength (nm),Wavelength error (nm),Wavelength w/uncertainty (nm),Matrix element (a.u),Matrix el. uncertainty (a.u),Matrix el. w/uncertainty (a.u),Transition rate (s-1),Transition rate uncertainty,Transition rate w/uncertainty (s-1),Branching ratio,Branching ratio uncertainty,Branching ratio w/uncertainty,Lifetime reference,Matrix Element Reference
8d,2D,3/2,6p,2P,3/2,1346.1035,0.0026,1346.104(3),0.4824125,0.0123094,0.482(12),48329.13401514033,2466.364972221267,4.83(25)E+04,0.023105485980693712,0.0012984601039069388,0.0231(13),,
8d,2D,5/2,6p,2P,3/2,1345.92,0.0026,1345.920(3),1.4366738,0.0355475,1.437(36),285873.98941180867,14146.712647368948,2.86(14)E+05,0.13189671979885037,0.00672366202467785,0.1319(67),,
9d,2D,3/2,6p,2P,3/2,1245.4442,0.0022,1245.444(2),0.3746067,0.0081502,0.3746(82),36794.729106864936,1601.06267928835,3.68(16)E+04,0.024211920322305208,0.0011564754396009797,0.0242(12),,
9d,2D,5/2,6p,2P,3/2,1245.3364,0.0022,1245.336(2),1.1163767,0.0233816,1.116(23),217910.20413076572,9127.903277960058,2.179(91)E+05,0.13860482330012838,0.005925801624306377,0.1386(59),,
10d,2D,3/2,6p,2P,3/2,1185.5338,0.0015,1185.534(2),0.3020502,0.005734,0.3021(57),27734.71876901722,1053.0095872560025,2.77(11)E+04,0.024687287788319866,0.0010274097280298714,0.0247(10),,
10d,2D,5/2,6p,2P,3/2,1185.4638,0.0015,1185.464(2),0.9004642,0.0163935,0.900(16),164355.43640028316,5984.38196936681,1.644(60)E+05,0.14157274360187444,0.005240076567881401,0.1416(52),,
11d,2D,3/2,6p,2P,3/2,1146.5354,0.0657,1146.54(7)*,0.2548539,0.0134589,0.255(13),21828.682527236084,2305.559729776586,2.18(23)E+04,0.02502141577757445,0.0027861964798654407,0.0250(28),,
11d,2D,5/2,6p,2P,3/2,1146.488,0.0657,1146.49(7)*,0.7594346,0.0384691,0.759(38),129237.4061761665,13093.040164571496,1.29(13)E+05,0.14378788483024812,0.013941162405316163,0.144(14),,
12d,2D,3/2,6p,2P,3/2,1119.5815,0.0627,1119.58(6)*,0.2158351,0.0096181,0.2158(96),16814.51444447344,1498.5882160120761,1.68(15)E+04,0.025108102879159003,0.002361257772441866,0.0251(24),,
12d,2D,5/2,6p,2P,3/2,1119.5439,0.0627,1119.54(6)*,0.6432253,0.0275923,0.643(28),99567.802465864,8542.294415901084,9.96(85)E+04,0.14438395615930819,0.011865791144056066,0.144(12),,
