Initial Configuration,Initial term,Initial J,Final configuration,Final term,Final J,Wavelength (nm),Wavelength error (nm),Wavelength w/uncertainty (nm),Matrix element (a.u),Matrix el. uncertainty (a.u),Matrix el. w/uncertainty (a.u),Transition rate (s-1),Transition rate uncertainty,Transition rate w/uncertainty (s-1),Branching ratio,Branching ratio uncertainty,Branching ratio w/uncertainty,Lifetime reference,Matrix Element Reference
5s.5d,1D,2,5s.6p,1P,1,15897.164,0.197,15897.2(2),13.5686,0.39254,13.57(39),18569.849489618697,1074.4528136021468,1.86(11)E+04,0.0014836755588886427,0.00009364867538822448,0.001484(94),,
4d.5p,3D,1,5s.5d,1D,2,6507.434,0.04,6507.43(4),0.63105,0.07467,0.631(75),975.9875093553311,230.9705650734813,9.8(23)E+02,0.000013059362777012674,0.0000030944183967034687,0.0000131(31),,
4d.5p,3D,2,5s.5d,1D,2,6044.856,0.034,6044.86(3),0.01804,0.01502,0.018(15),0.5970523206802738,0.994204640474294,6.0(99)E-01,7.933260237059509e-9,1.3210763474758796e-8,<2.1E-8,,
4d.5p,3D,3,5s.5d,1D,2,5458.381,0.023,5458.38(2),0.73385,0.07489,0.734(75),958.500347945503,195.6315083336278,9.6(20)E+02,0.000012603637160479725,0.0000025734481394241514,0.0000126(26),,
4d.5p,3P,1,5s.5d,1D,2,3883.067,0.012,3883.07(1),0.60079,0.0203,0.601(20),4163.579214876713,281.3650655216955,4.16(28)E+03,0.00004827370373194771,0.000003329276143695989,0.0000483(33),,
4d.5p,3P,2,5s.5d,1D,2,3832.675,0.009,3832.675(9),0.01527,0.015,0.015(15),1.6782997229152607,3.2972489644912577,1.7(33),1.9629887392106773e-8,3.856637391638414e-8,<5.8E-8,,
4d.5p,1F,3,5s.5d,1D,2,3048.506,0.016,3048.51(2),16.34015,1.20692,16.3(12),2727847.2699783104,402969.7947428302,2.73(40)E+06,0.8178414493962529,0.10888342841136509,0.82(11),,
5s.7p,1P,1,5s.5d,1D,2,2392.682,0.006,2392.682(6),4.5272,0.08529,4.527(85),1010533.3676084733,38075.805195804714,1.011(38)E+06,0.04238238916695903,0.0027968722951219197,0.0424(28),,
5s.5d,3D,1,5s.5p,3P,0,483.339,0,483.3393(2),2.48679,0.02389,2.487(24),36988611.45570466,710681.5836293248,3.699(71)E+07,0.5936802669800504,0.013670286933609933,0.594(14),,
5s.5d,3D,1,5s.5p,3P,1,487.744,0,487.7436(2),2.02886,0.05658,2.029(57),23959369.00589416,1336337.7446975068,2.40(13)E+07,0.3845563276990499,0.013959123405546326,0.385(14),,
5s.5d,3D,1,5s.5p,3P,2,497.306,0,497.3055(2),0.46127,0.03732,0.461(37),1168386.7465798142,189061.47541508733,1.17(19)E+06,0.018753019601077156,0.0030122473746401163,0.0188(30),,
5s.5d,3D,1,5s.5p,1P,1,751.402,0,751.4020(5),0.11662,0.01551,0.117(16),21650.859698251625,5758.957878920985,2.17(58)E+04,0.0003475039386487498,0.0000927920166847444,0.000348(93),,
5s.5d,3D,1,4d.5p,3F,2,5746.938,0.025,5746.94(3),1.45668,0.12318,1.46(12),7550.310153166259,1276.9409993079503,7.6(13)E+03,0.00012118514242909245,0.000020706522838980323,0.000121(21),,
5s.5d,3D,1,4d.5p,1D,2,8474.512,0.055,8474.51(5),0.30278,0.24965,0.30(25),101.73171846055826,167.76090571007722,1.0(17)E+02,0.0000016328299819616184,0.000002692914067397379,<0.0000043,,
5s.5d,3D,1,5s.6p,3P,0,8669.884,0.069,8669.88(7),9.39369,0.05996,9.394(60),91448.93964235637,1167.4406992008178,9.14(12)E+04,0.0014677877531827006,0.000040513915673677496,0.001468(41),,
5s.5d,3D,1,5s.6p,3P,1,8782.785,0.071,8782.79(7),7.7569,0.17092,7.76(17),59982.65396314435,2643.385055322921,6.00(26)E+04,0.0009627427637194907,0.000048499018182633775,0.000963(48),,
5s.5d,3D,1,5s.6p,3P,2,9672.649,0.075,9672.65(8),2.18892,0.05375,2.189(54),3575.7702413092443,175.60959014463307,3.58(18)E+03,0.00005739237424638138,0.0000031492625427370855,0.0000574(31),,
5s.5d,3D,1,5s.6p,1P,1,11007.106,0.112,11007.1(1),2.5327,0.3276,2.53(33),3248.5838756055227,840.3964820605482,3.25(84)E+03,0.00005214091761422765,0.000013548228431713147,0.000052(14),,
4d.5p,3D,1,5s.5d,3D,1,7953.912,0.067,7953.91(7),0.73479,0.01694,0.735(17),724.6531852355353,33.412612587440364,7.25(33)E+02,0.000009696342158886387,4.617801819935246e-7,0.00000970(46),,
4d.5p,3D,2,5s.5d,3D,1,7273.584,0.056,7273.58(6),0.41095,0.02444,0.411(24),177.84016569638626,21.153005142074022,1.78(21)E+02,0.0000023630296143287887,2.826894065777381e-7,0.00000236(28),,
4d.5p,3P,0,5s.5d,3D,1,4376.05,0.019,4376.05(2),2.94774,0.07203,2.948(72),210086.87338151093,10267.227114430874,2.10(10)E+05,0.002426135983881,0.0001275013628603964,0.00243(13),,
4d.5p,3P,1,5s.5d,3D,1,4355.736,0.017,4355.74(2),2.57928,0.05517,2.579(55),54369.86325439354,2325.9091437118323,5.44(23)E+04,0.0006303794248254315,0.00002831705657214958,0.000630(28),,
4d.5p,3P,2,5s.5d,3D,1,4292.429,0.015,4292.43(1),0.67011,0.0193,0.670(19),2300.8059525339595,132.53213836337082,2.30(13)E+03,0.000026910903423661586,0.00000158617273941793,0.0000269(16),,
5s.7p,1P,1,5s.5d,3D,1,2564.135,0.008,2564.135(8),0.006,0.01512,<0.021,1.4422005949640255,7.2686909986312225,1.4(73),6.048677741066673e-8,3.048716742253357e-7,<3.7E-7,,
5s.7p,3P,0,5s.5d,3D,1,2270.271,0.005,2270.271(5),2.03298,0.01844,2.033(18),715649.8189329626,12982.50207714381,7.16(13)E+05,0.12861284206695006,0.01576930815382983,0.129(16),,
5s.5d,3D,2,5s.5p,3P,1,487.385,0,487.3851(3),3.72447,0.04394,3.724(44),48552258.024475254,1145605.2633504593,4.86(11)E+07,0.7869351547593663,0.012627305885061703,0.787(13),,
5s.5d,3D,2,5s.5p,3P,2,496.933,0,496.9328(3),1.97981,0.0719,1.980(72),12943485.997853257,940127.2276083556,1.294(94)E+07,0.20978806282730925,0.012655371550017086,0.210(13),,
